
---------- Begin Simulation Statistics ----------
simSeconds                                   0.029959                       # Number of seconds simulated (Second)
simTicks                                  29959334000                       # Number of ticks simulated (Tick)
finalTick                                 29959334000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    431.19                       # Real time elapsed on the host (Second)
hostTickRate                                 69481337                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     796660                       # Number of bytes of host memory used (Byte)
simInsts                                    104693735                       # Number of instructions simulated (Count)
simOps                                      190503147                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   242804                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     441813                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu0.numCycles                         3153142                       # Number of cpu cycles simulated (Cycle)
system.cpu0.numWorkItemsStarted                     0                       # Number of work items this cpu started (Count)
system.cpu0.numWorkItemsCompleted                   0                       # Number of work items this cpu completed (Count)
system.cpu0.instsAdded                       11864146                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu0.nonSpecInstsAdded                     302                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu0.instsIssued                      11853946                       # Number of instructions issued (Count)
system.cpu0.squashedInstsIssued                   213                       # Number of squashed instructions issued (Count)
system.cpu0.squashedInstsExamined              115320                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu0.squashedOperandsExamined           103658                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu0.squashedNonSpecRemoved                146                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu0.numIssuedDist::samples            3110446                       # Number of insts issued each cycle
system.cpu0.numIssuedDist::mean              3.811012                       # Number of insts issued each cycle
system.cpu0.numIssuedDist::stdev             2.185035                       # Number of insts issued each cycle
system.ruby.L1Cache_Controller.S.L1_Replacement |         787     22.13%     22.13% |        2769     77.87%    100.00% (Unspecified)
system.ruby.L1Cache_Controller.S.L1_Replacement::total         3556                       (Unspecified)
system.ruby.L1Cache_Controller.S.Fwd_GETS |          78     98.73%     98.73% |           1      1.27%    100.00% (Unspecified)
system.ruby.L1Cache_Controller.S.Fwd_GETS::total           79                       (Unspecified)
system.ruby.L1Cache_Controller.O.Fwd_GETX |           1    100.00%    100.00% |           0      0.00%    100.00% (Unspecified)
system.ruby.L1Cache_Controller.O.Fwd_GETX::total            1                       (Unspecified)
system.ruby.L1Cache_Controller.O.Fwd_GETS |          57    100.00%    100.00% |           0      0.00%    100.00% (Unspecified)
system.ruby.L1Cache_Controller.O.Fwd_GETS::total           57                       (Unspecified)
system.ruby.L1Cache_Controller.M.Load    |          91      0.00%      0.00% |     4107344    100.00%    100.00% (Unspecified)
system.ruby.L1Cache_Controller.M.Load::total      4107435                       (Unspecified)
system.ruby.L1Cache_Controller.M.Store   |           7      0.85%      0.85% |         814     99.15%    100.00% (Unspecified)
system.ruby.L1Cache_Controller.M.Store::total          821                       (Unspecified)
system.ruby.L1Cache_Controller.M.L1_Replacement |           1      0.02%      0.02% |        4470     99.98%    100.00% (Unspecified)
system.ruby.L1Cache_Controller.M.L1_Replacement::total         4471                       (Unspecified)
system.ruby.L1Cache_Controller.M.Fwd_GETX |           0      0.00%      0.00% |           3    100.00%    100.00% (Unspecified)
system.ruby.L1Cache_Controller.M.Fwd_GETX::total            3                       (Unspecified)
system.ruby.L1Cache_Controller.M.Fwd_GETS |           8     88.89%     88.89% |           1     11.11%    100.00% (Unspecified)
system.ruby.L1Cache_Controller.M.Fwd_GETS::total            9                       (Unspecified)
system.ruby.L1Cache_Controller.M_W.Load  |           3      0.02%      0.02% |       19078     99.98%    100.00% (Unspecified)
system.ruby.L1Cache_Controller.M_W.Load::total        19081                       (Unspecified)
system.ruby.L1Cache_Controller.M_W.Store |           2      0.45%      0.45% |         441     99.55%    100.00% (Unspecified)
system.ruby.L1Cache_Controller.M_W.Store::total          443                       (Unspecified)
system.ruby.L1Cache_Controller.M_W.L1_Replacement |           0      0.00%      0.00% |          23    100.00%    100.00% (Unspecified)
system.ruby.L1Cache_Controller.M_W.L1_Replacement::total           23                       (Unspecified)
system.ruby.L1Cache_Controller.M_W.Use_Timeout |          24      0.44%      0.44% |        5409     99.56%    100.00% (Unspecified)
system.ruby.L1Cache_Controller.M_W.Use_Timeout::total         5433                       (Unspecified)
system.ruby.L1Cache_Controller.MM.Load   |      866226      5.85%      5.85% |    13929214     94.15%    100.00% (Unspecified)
system.ruby.L1Cache_Controller.MM.Load::total     14795440                       (Unspecified)
system.ruby.L1Cache_Controller.MM.Store  |     1187762     11.10%     11.10% |     9515047     88.90%    100.00% (Unspecified)
system.ruby.L1Cache_Controller.MM.Store::total     10702809                       (Unspecified)
system.ruby.L1Cache_Controller.MM.L1_Replacement |         240     12.01%     12.01% |        1758     87.99%    100.00% (Unspecified)
system.ruby.L1Cache_Controller.MM.L1_Replacement::total         1998                       (Unspecified)
system.ruby.L1Cache_Controller.MM.Fwd_GETX |           9     64.29%     64.29% |           5     35.71%    100.00% (Unspecified)
system.ruby.L1Cache_Controller.MM.Fwd_GETX::total           14                       (Unspecified)
system.ruby.L1Cache_Controller.MM.Fwd_GETS |         516     99.42%     99.42% |           3      0.58%    100.00% (Unspecified)
system.ruby.L1Cache_Controller.MM.Fwd_GETS::total          519                       (Unspecified)
system.ruby.L1Cache_Controller.MM_W.Load |          24     18.75%     18.75% |         104     81.25%    100.00% (Unspecified)
system.ruby.L1Cache_Controller.MM_W.Load::total          128                       (Unspecified)
system.ruby.L1Cache_Controller.MM_W.Store |         681     20.00%     20.00% |        2724     80.00%    100.00% (Unspecified)
system.ruby.L1Cache_Controller.MM_W.Store::total         3405                       (Unspecified)
system.ruby.L1Cache_Controller.MM_W.L1_Replacement |           0      0.00%      0.00% |           4    100.00%    100.00% (Unspecified)
system.ruby.L1Cache_Controller.MM_W.L1_Replacement::total            4                       (Unspecified)
system.ruby.L1Cache_Controller.MM_W.Fwd_GETS |           1    100.00%    100.00% |           0      0.00%    100.00% (Unspecified)
system.ruby.L1Cache_Controller.MM_W.Fwd_GETS::total            1                       (Unspecified)
system.ruby.L1Cache_Controller.MM_W.Use_Timeout |         886     41.65%     41.65% |        1241     58.35%    100.00% (Unspecified)
system.ruby.L1Cache_Controller.MM_W.Use_Timeout::total         2127                       (Unspecified)
system.ruby.L1Cache_Controller.IM.L1_Replacement |           0      0.00%      0.00% |           4    100.00%    100.00% (Unspecified)
system.ruby.L1Cache_Controller.IM.L1_Replacement::total            4                       (Unspecified)
system.ruby.L1Cache_Controller.IM.Ack    |           2     20.00%     20.00% |           8     80.00%    100.00% (Unspecified)
system.ruby.L1Cache_Controller.IM.Ack::total           10                       (Unspecified)
system.ruby.L1Cache_Controller.IM.Exclusive_Data |         840     51.47%     51.47% |         792     48.53%    100.00% (Unspecified)
system.ruby.L1Cache_Controller.IM.Exclusive_Data::total         1632                       (Unspecified)
system.ruby.L1Cache_Controller.IS.L1_Replacement |           0      0.00%      0.00% |          14    100.00%    100.00% (Unspecified)
system.ruby.L1Cache_Controller.IS.L1_Replacement::total           14                       (Unspecified)
system.ruby.L1Cache_Controller.IS.Data   |        1470     27.95%     27.95% |        3790     72.05%    100.00% (Unspecified)
system.ruby.L1Cache_Controller.IS.Data::total         5260                       (Unspecified)
system.ruby.L1Cache_Controller.IS.Exclusive_Data |          26      0.44%      0.44% |        5850     99.56%    100.00% (Unspecified)
system.ruby.L1Cache_Controller.IS.Exclusive_Data::total         5876                       (Unspecified)
system.ruby.L1Cache_Controller.SM.Ack    |           6     75.00%     75.00% |           2     25.00%    100.00% (Unspecified)
system.ruby.L1Cache_Controller.SM.Ack::total            8                       (Unspecified)
system.ruby.L1Cache_Controller.SM.Exclusive_Data |          44     84.62%     84.62% |           8     15.38%    100.00% (Unspecified)
system.ruby.L1Cache_Controller.SM.Exclusive_Data::total           52                       (Unspecified)
system.ruby.L1Cache_Controller.OM.L1_Replacement |           0      0.00%      0.00% |           1    100.00%    100.00% (Unspecified)
system.ruby.L1Cache_Controller.OM.L1_Replacement::total            1                       (Unspecified)
system.ruby.L1Cache_Controller.OM.All_acks |         884     52.49%     52.49% |         800     47.51%    100.00% (Unspecified)
system.ruby.L1Cache_Controller.OM.All_acks::total         1684                       (Unspecified)
system.ruby.L1Cache_Controller.SI.Load   |           3     25.00%     25.00% |           9     75.00%    100.00% (Unspecified)
system.ruby.L1Cache_Controller.SI.Load::total           12                       (Unspecified)
system.ruby.L1Cache_Controller.SI.Ifetch |           4     50.00%     50.00% |           4     50.00%    100.00% (Unspecified)
system.ruby.L1Cache_Controller.SI.Ifetch::total            8                       (Unspecified)
system.ruby.L1Cache_Controller.SI.Writeback_Ack |         350     13.51%     13.51% |        2240     86.49%    100.00% (Unspecified)
system.ruby.L1Cache_Controller.SI.Writeback_Ack::total         2590                       (Unspecified)
system.ruby.L1Cache_Controller.SI.Writeback_Ack_Data |         435     45.12%     45.12% |         529     54.88%    100.00% (Unspecified)
system.ruby.L1Cache_Controller.SI.Writeback_Ack_Data::total          964                       (Unspecified)
system.ruby.L1Cache_Controller.SI.Writeback_Nack |         822    100.00%    100.00% |           0      0.00%    100.00% (Unspecified)
system.ruby.L1Cache_Controller.SI.Writeback_Nack::total          822                       (Unspecified)
system.ruby.L1Cache_Controller.MI.Load   |           0      0.00%      0.00% |          11    100.00%    100.00% (Unspecified)
system.ruby.L1Cache_Controller.MI.Load::total           11                       (Unspecified)
system.ruby.L1Cache_Controller.MI.Ifetch |           2    100.00%    100.00% |           0      0.00%    100.00% (Unspecified)
system.ruby.L1Cache_Controller.MI.Ifetch::total            2                       (Unspecified)
system.ruby.L1Cache_Controller.MI.Store  |           0      0.00%      0.00% |           7    100.00%    100.00% (Unspecified)
system.ruby.L1Cache_Controller.MI.Store::total            7                       (Unspecified)
system.ruby.L1Cache_Controller.MI.Writeback_Ack_Data |         241      3.73%      3.73% |        6228     96.27%    100.00% (Unspecified)
system.ruby.L1Cache_Controller.MI.Writeback_Ack_Data::total         6469                       (Unspecified)
system.ruby.L2Cache_Controller.L1_GETS          11136      0.00%      0.00% (Unspecified)
system.ruby.L2Cache_Controller.L1_GETX           1684      0.00%      0.00% (Unspecified)
system.ruby.L2Cache_Controller.L1_PUTX           6469      0.00%      0.00% (Unspecified)
system.ruby.L2Cache_Controller.L1_PUTS_only         2879      0.00%      0.00% (Unspecified)
system.ruby.L2Cache_Controller.L1_PUTS           1498      0.00%      0.00% (Unspecified)
system.ruby.L2Cache_Controller.All_Acks          1382      0.00%      0.00% (Unspecified)
system.ruby.L2Cache_Controller.Data              3681      0.00%      0.00% (Unspecified)
system.ruby.L2Cache_Controller.L1_WBCLEANDATA          964      0.00%      0.00% (Unspecified)
system.ruby.L2Cache_Controller.L1_WBDIRTYDATA         6469      0.00%      0.00% (Unspecified)
system.ruby.L2Cache_Controller.Unblock           7850      0.00%      0.00% (Unspecified)
system.ruby.L2Cache_Controller.Exclusive_Unblock         7560      0.00%      0.00% (Unspecified)
